name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
Adam Anapolis,9,10,4,8,8,9,7,10,9,7
Beverly Beaker,8,6,6,7,7,10,7,6,10,8
Clive Cat,8,9,8,6,7,1,7,4,8,10
Dana Darl,10,7,5,5,10,6,6,5,9,10
Edward Elis,9,10,8,4,7,1,9,7,9,8
Fiona Finkel,10,7,9,6,9,10,9,8,9,7
Greg Garber,7,9,5,8,7,5,6,8,9,10
Helen Hart,9,8,10,5,9,8,9,4,10,10
Igor Issacs,9,8,4,4,10,7,10,4,10,9
Jenna Johnston,7,9,6,10,7,9,8,7,8,7
Karl Kraft,10,6,10,9,8,5,6,4,9,8
Lora Laris,9,7,5,4,10,2,10,6,9,8
Mark Mara,9,9,7,6,9,1,10,8,9,8
Nora Neider,7,7,7,5,9,6,10,10,9,9
Oppy Olsen,10,7,10,10,9,0,8,3,9,8
Quin Queen,7,9,9,6,7,9,6,4,8,10
Robert Reed,10,8,10,8,8,3,7,9,9,9
Samantha Stark,10,6,8,6,9,9,8,8,10,9
Tim Teebert,8,7,10,4,9,6,8,3,9,9
Ursula Umber,8,10,4,10,10,10,9,6,8,9
Vin Verona,7,7,8,9,8,9,10,9,8,8
Willow Weeder,10,10,9,5,8,6,8,3,9,10
Xi Xindulu,10,6,7,10,10,9,10,6,9,8
Yalonda Yas,9,7,6,6,7,6,9,8,10,8
Zack Zimba,10,7,10,10,9,0,10,6,9,7
